voice,L,R,sprectral_std,sprectral_q75,librosa_rms_mean,librosa_chroma_std,sprectral_peak,sprectral_kurtosis,audio_zcr,librosa_tonnetz_mean,librosa_mfccs_mean,f0_mean_der,librosa_centroid_mean,librosa_centroid_std,sprectral_skew_old,positive,sprectral_skew,sprectral_iqr,sprectral_mode,sprectral_median,audio_entropy,loudness_std,librosa_chroma_mean,negative,librosa_spec_bw_mean,loudness_mean,sprectral_magic,sprectral_nobs,librosa_flatness_mean,f0_mean,librosa_tonnetz_std,librosa_rms_std,audio_rmse,f0_std,sprectral_low,librosa_mfccs_std,librosa_flatness_std,neutral,librosa_spec_bw_std,librosa_chroma_cens_mean,librosa_chroma_cens_std,sprectral_q25,temp_letters,loudness_mean_der,sprectral_mean,temp_words
pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--62023f658fb5a635693db021/ru.43955bb1-8264-4c2a-a347-25a27f658d55.ogg,1484490,1644490,20.46888050803164,195.0,0.06062455,0.3202464,240.0,0.4659165903968296,0.1369730306509584,0.0050104116021228,-8.90058,0.04194338,1813.9622389101703,1123.3737024692673,6.15081889207056,0.8594028399999999,0.9350576070651344,28.75,165.0,180.0,10.494212,8.50911,0.3147443,0.120752916,1683.587380908182,-7.9114676,4779.6875,38,0.017717918,5.3383613,0.1150030526007081,0.03301125,0.06903291,0.15771638,155.0,64.367485,0.03278946,0.019844204,555.1927337360678,0.2440014735040838,0.1542615125725442,166.25,119,8.472158,183.1578947368421,22
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f6d8e5e6183f5d3b102c77/ru.dd25a87a-8908-4b7a-8767-9ddddd93f028.mp3,1946312,2106312,36.76699321615573,205.00000000000003,0.007692615,0.32742536,295.0,2.055601386730633,0.1598988493410543,0.0108741786490333,-26.472948,0.0881422,1750.8204439280305,1359.880307739938,10.05641164885648,0.1074026726995055,0.2541100890870848,45.00000000000003,160.0,180.0,10.503713,19.685095,0.33550593,0.0219953742795994,1596.620916695765,-33.315125,7200.000000000005,43,0.046396732,5.1812625,0.1084167689081001,0.0061810724,0.009873842,0.20246974,70.0,122.86133,0.13330002,0.8706019851581194,515.9203183102352,0.2529267998492441,0.1391451301747702,160.0,111,14.674954,186.04651162790697,22
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7c28d5477063533c0bf00/ru.fd269616-0e5e-4de8-8573-f5d926974010.wav,1018377,1178377,52.1697567726098,195.0,0.02816806,0.33903313,240.0,2.098772681824922,0.189581045327476,0.0118396382631644,-18.045547,0.0025887613,2281.478478000301,1277.0043857371736,6.197225016975824,0.1750800501832643,-1.480755799701583,40.0,180.0,175.00000000000003,10.387764,14.224741,0.3486239,0.0633183929856037,2053.6850230312043,-17.653868,6200.0,41,0.045475394,5.195361,0.1211674459623631,0.021874094,0.03569243,0.016804958,25.0,87.502716,0.070937514,0.7616015706113473,419.2481092635708,0.2495080513454723,0.1451863135668044,155.0,89,12.337206,166.21951219512195,17
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61fa7b8b9c64024630780734/ru.e911a8ae-74cf-4c7c-a283-7da9eed22656.aac,369272,529272,26.16150995593724,250.0,0.048109688,0.32744628,285.00000000000006,-1.039260129185519,0.0827660118809904,0.0145798895030091,-19.643198,0.06232603,987.788707298683,600.4485183123966,8.433161635020415,0.0013715897,0.4564470543279139,43.74999999999997,200.0,220.0,10.601402,12.292649,0.29037786,0.0013540997,973.440795291627,-13.736636,9023.437499999996,42,0.0068499334,5.2865233,0.1167936843327714,0.030534612,0.05702671,0.22981995,195.0,86.77989,0.020990476,0.99727434,395.6553274089226,0.2461834627932978,0.1507548870864034,206.25000000000003,130,15.601382,229.16666666666663,24
pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--61ffa78b89d7190cb1d79ec5/ru.a928674d-5eb7-41c7-8fcc-526fee4610d7.wav,1858181,2018181,52.777452890488014,262.5,0.028373023,0.3214667,295.0,2.3209458984083486,0.2435291034345048,0.0052904291569838,-16.709358,0.06401008,2785.100781916883,1311.6683548785525,4.95147596330393,0.008291175,-1.1060614532867197,80.0,165.0,215.0,10.372369,13.122332,0.31233916,0.0031454322999999,2251.330633857229,-14.90901,14600.0,27,0.069842674,5.5520425,0.1025105186220128,0.021169208,0.0353839,0.26579306,40.0,76.55243,0.08477599,0.9885634,410.091633814512,0.2652944348318581,0.113807715821812,182.5,97,13.312826,216.85185185185185,16
pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--62028bb5a3f3d614336be08d/ru.fbf6c20a-c173-4bba-92cc-4bce39fc26c6.wav,1702798,1862798,40.17515662541396,215.0,0.008770715,0.32700118,295.0,-0.1179356859475064,0.143626447683706,0.0001942794833499,-18.209763,0.024161521,2124.122056156237,1365.2026681632371,5.142907947771742,0.046373006,1.0685896379760451,45.0,175.00000000000003,177.5,10.565769,8.748924,0.3197337,0.07255813,1824.0929958656284,-24.157225,7650.0,36,0.03753915,5.186099,0.1085286209316236,0.005239406,0.010224455,0.09950414,145.0,101.35812,0.057683732,0.8810689,421.5709251527444,0.2549164862382032,0.1354655615915029,170.0,116,9.788521,196.11111111111111,28
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f6d8e5e6183f5d3b102c77/ru.dd25a87a-8908-4b7a-8767-9ddddd93f028.mp3,409182,569182,31.619783498485187,202.5,0.007742042,0.3323093,265.0,0.8414263359528378,0.1476184979033546,0.0044998590532598,-27.729307,0.024676872,1571.819087320662,1147.6406457694425,10.189482277866883,0.49912378,0.2872316524154469,22.5,200.0,195.0,10.49877,25.961279,0.31705898,0.009222431,1582.6896496600386,-37.371994,4050.0,43,0.09536143,5.281537,0.1156383034659414,0.0064519616,0.010080075,0.109990135,105.0,127.63903,0.24554196,0.49165377,559.856624360572,0.2469949424421555,0.1494216575377532,180.0,93,22.662012,196.1627906976744,17
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f78a186883f87caa0cd1f1/ru.159b630e-7716-403d-abdf-3ab9657d24ab.wav,1227122,1387122,46.320212976383374,230.0,0.05414814,0.328125,290.0,-1.1050528997991764,0.1839853110023961,0.0082186688131986,-15.877761,0.063107036,2485.8515332105003,1360.5345319128746,5.223468473459023,0.14022173,0.7102500815047178,60.0,165.0,175.00000000000003,10.37443,13.085553,0.2999663,0.18605122,2020.5110214853696,-9.110442,10200.0,13,0.050495222,5.4195743,0.1288916019655006,0.037190944,0.06571417,0.21081008,160.0,70.63995,0.08396165,0.67372704,450.7248411480024,0.2501895279877792,0.1440087963236467,170.0,94,13.487917,205.7692307692308,21
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7e96a31b218543e99b252/ru.aa18b9fe-5307-4eb8-bab9-729be24d7eba.wav,1629515,1789515,27.21820070884535,210.0,0.04026671,0.34283617,275.0,1.3378052898842698,0.1587787664736421,-0.0016860329369481,-12.643337,0.07918934,2107.5419670106044,1371.0250440576,5.463975452596884,0.0012012573,1.2202006352991026,30.0,180.0,200.0,10.185538,13.661964,0.3331614,0.0026131338,1902.4552820495817,-15.363525,5400.0,17,0.028777929,5.34122,0.1201016519437725,0.03563071,0.053809687,0.15656324,160.0,81.44638,0.044853237,0.9961856,564.8413550491293,0.2368224382176058,0.1650710940473878,180.0,109,10.642667,200.58823529411765,19
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f6e3e501c201589b7a36f1/ru.781ef413-2258-4f75-a783-94cc705b996a.wav,1492934,1652934,102.30472662026364,245.0,0.023171244,0.34731558,295.0,-1.7087652493078171,0.1172202600838658,-0.0009683107822015,-12.839216,0.045521356,1749.4434828474818,1210.0624542230091,5.501196894278886,0.1011876401176933,-0.2254568290130272,205.0,35.0,220.0,10.496534,12.579426,0.34146366,0.2352671305651189,1809.1335225688808,-15.808984,8200.0,23,0.023977498,5.7736306,0.1004006874369005,0.01600316,0.028173562,0.20863916,35.0,89.25792,0.044603974,0.6635452337578638,426.8366917557761,0.2625017927106098,0.1201088762625366,40.0,84,11.098132,160.2173913043478,17
